ID,Symbol,PubChem_CID,IUPAC_Condensed,Compound_Name,IUPAC_Name,Natural_Analog,Monomer_Type,Polymer_Type,R1,R2,R3,capped_SMILES,MAP_denotion,CXSMILES
1,A,5950,H-Ala-OH,Alanine,(2S)-2-aminopropanoic acid,A,Backbone,PEPTIDE,H,OH,-,CN[C@@H](C)C=O,A,C[C@H](N[*])C([*])=O |$;;;_R1;;_R2;$|
2,dA,71080,H-D-Ala-OH,D-alanine,(2R)-2-aminopropanoic acid,A,Backbone,PEPTIDE,H,OH,-,CN[C@H](C)C=O,A{d},C[C@@H](N[*])C([*])=O |$;;;_R1;;_R2;$|
3,meA,5288725,Me-Ala-OH,N-methyl-L-alanine,(2S)-2-(methylamino)propanoic acid,A,Backbone,PEPTIDE,H,OH,-,C[C@@H](C=O)N(C)C,A{nnm:N-methyl},C[C@H](N(C)[*])C([*])=O |$;;;;_R1;;_R2;$|
4,Me_dA,92973,Me-D-Ala-OH,N-methyl-D-alanine,(2R)-2-(methylamino)propanoic acid,A,Backbone,PEPTIDE,H,OH,-,C[C@H](C=O)N(C)C,A{d}{nnm:N-methyl},C[C@@H](N(C)[*])C([*])=O |$;;;;_R1;;_R2;$|
5,Ala(tBu),194032,H-Ala(tBu)-OH,3-tert-butyl-L-alanine,"(2S)-2-amino-4,4-dimethylpentanoic acid",A,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)CC(C)(C)C,A{nnm:3-tert-butyl},CC(C)(C)C[C@H](N[*])C([*])=O |$;;;;;;;_R1;;_R2;$|
6,Ala(indol-2-yl),10262329,H-Ala(indol-2-yl)-OH,3-indol-2-yl-L-alanine,(2S)-2-amino-3-(1H-indol-2-yl)propanoic acid,A,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)Cc1cc2ccccc2[nH]1,A{nnm:3-Indol-2-yl},[*]N[C@@H](Cc1cc2ccccc2[nH]1)C([*])=O |$_R1;;;;;;;;;;;;;;_R2;$|
7,dAla(indol-2-yl),66766908,H-D-Ala(indol-2-yl)-OH,3-indol-2-yl-D-alanine,(2R)-2-amino-3-(1H-indol-2-yl)propanoic acid,A,Backbone,PEPTIDE,H,OH,-,CN[C@@H](C=O)Cc1cc2ccccc2[nH]1,A{d}{nnm:3-Indol-2-yl},[*]N[C@H](Cc1cc2ccccc2[nH]1)C([*])=O |$_R1;;;;;;;;;;;;;;_R2;$|
8,Me_Ala(indol-2-yl),155188315,Me-Ala(indol-2-yl)-OH,N-methyl-3-indol-2-yl-L-alanine,(2S)-3-(1H-indol-2-yl)-2-(methylamino)propanoic acid,A,Backbone,PEPTIDE,H,OH,-,CN(C)[C@H](C=O)Cc1cc2ccccc2[nH]1,{nnr:Me-Ala(indol-2-yl)},CN([*])[C@@H](Cc1cc2ccccc2[nH]1)C([*])=O |$;;_R1;;;;;;;;;;;;;_R2;$|
9,Ala(5-Tet),3246533,H-Ala(tetrazol-5-yl)-OH,3-tetrazol-5-yl-L-alanine,(2S)-2-amino-3-(2H-tetrazol-5-yl)propanoic acid,A,Backbone,PEPTIDE,H,OH,-,CN[C@H](C=O)Cc1nnn[nH]1,A{nnm:3-tetrazol-5-yl},[*]N[C@@H](Cc1nnn[nH]1)C([*])=O |$_R1;;;;;;;;;;_R2;$|
10,Abu,80283,H-Abu-OH,2-aminobutanoic acid,(2S)-2-aminobutyric acid,X,Backbone,PEPTIDE,H,OH,-,CC[C@@H](C=O)NC,{nnr:Abu},CC[C@H](N[*])C([*])=O |$;;;;_R1;;_R2;$|
11,dAbu,439691,H-D-Abu-OH,D-2-aminobutyric acid,(2R)-2-aminobutanoic acid,X,Backbone,PEPTIDE,H,OH,-,CC[C@H](C=O)NC,{nnr:dAbu},CC[C@@H](N[*])C([*])=O |$;;;;_R1;;_R2;$|
12,Me_Abu,12571757,Me-Abu-OH,N-methyl-L-2-aminobutyric acid,(2S)-2-(methylamino)butanoic acid,X,Backbone,PEPTIDE,H,OH,-,CC[C@@H](C=O)N(C)C,{nnr:Me-Abu},CC[C@H](N(C)[*])C([*])=O |$;;;;;_R1;;_R2;$|
